pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15
46.950452,9819,0xF0,0x00,0,1.95900011,2.39400005,0.81000006,0.05700000,1.45850301,0.97640878,0.87704748,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.950452,9820,0xF0,0x00,0,2.01500010,2.36300015,0.84300005,0.05800000,1.50000000,0.96805203,0.91062337,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.971762,9821,0xF0,0x00,0,2.08000016,2.33100009,0.88100004,0.04900000,1.50000000,0.95716947,0.95071453,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.971762,9822,0xF0,0x00,0,2.13200021,2.27800012,0.91200006,0.05300000,1.50000000,0.94173998,0.99273247,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.993371,9823,0xF0,0x00,0,2.16500020,2.23000002,0.94500005,0.05600000,1.50000000,0.92268866,1.03404951,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
46.993371,9824,0xF0,0x00,0,2.19100022,2.18000007,0.97700006,0.05600000,1.50000000,0.90092188,1.07609093,0.00856698,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.014720,9825,0xF0,0x00,0,2.21399999,2.13400006,1.00400007,0.05200000,1.50000000,0.87890983,1.11783040,0.00789896,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.014720,9826,0xF0,0x00,0,2.23500013,2.07900000,1.05000007,0.05500000,1.50000000,0.85592103,1.16184330,0.01470834,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.036118,9827,0xF0,0x00,0,2.25200009,2.03299999,1.08300006,0.05300000,1.50000000,0.83216876,1.20918238,0.00322849,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.036118,9828,0xF0,0x00,0,2.27300000,1.99000013,1.14100003,0.05300000,1.50000000,0.80913538,1.25928485,0.01157343,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.056713,9829,0xF0,0x00,0,2.29500008,1.92100012,1.20100009,0.05300000,1.50000000,0.78403103,1.32651854,0.01824856,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.056713,9830,0xF0,0x00,0,2.31600022,1.87500012,1.24900007,0.05700000,1.50000000,0.75807685,1.39493954,0.02440251,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.056713,9831,0xF0,0x00,0,2.32600021,1.82600009,1.29300010,1.59000003,1.50000000,0.73283726,1.46201503,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
47.077290,9832,0xF0,0x00,0,2.33500004,1.77200007,1.34900010,1.55500007,1.50000000,0.70738190,1.50000000,1.50000000,1.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000
