time_s,pc_time_s,seq_id,module_id,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
1.281000,12.514553,10159,240,0,0.559674,1.006380,0.050329,0.050010,0.564171,0.050950,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.282000,12.546812,10160,240,0,0.518799,1.006306,0.050733,0.050231,0.564401,0.050783,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.283000,12.546882,10161,240,0,0.470748,1.006251,0.050391,0.050345,0.564741,0.050522,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.284000,12.546915,10162,240,0,0.420165,1.006156,0.050504,0.049852,0.564141,0.050427,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.285000,12.577919,10163,240,0,0.368010,1.006102,0.050525,0.049734,0.564465,0.050274,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.286000,12.578043,10164,240,0,0.318202,1.006137,0.051030,0.049937,0.564231,0.050415,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.287000,12.578082,10165,240,0,0.277236,1.006269,0.051138,0.049750,0.564209,0.050082,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.288000,12.609469,10166,240,0,0.250471,1.006386,0.050779,0.049898,0.564565,0.050072,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.289000,12.609567,10167,240,0,0.228924,1.006447,0.050465,0.050022,0.564456,0.050215,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.290000,12.609605,10168,240,0,0.200615,1.006460,0.050229,0.050126,0.564284,0.050555,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.291000,12.609637,10169,240,0,0.167675,1.006324,0.050322,0.049732,0.564265,0.050658,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.292000,12.641106,10170,240,0,0.139013,1.006258,0.050809,0.049808,0.564014,0.050626,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.293000,12.641188,10171,240,0,0.118966,1.006178,0.050484,0.050001,0.564235,0.050723,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.294000,12.641214,10172,240,0,0.095253,1.006132,0.050181,0.050291,0.564267,0.050364,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.295000,12.672310,10173,240,0,0.077483,1.006063,0.050044,0.050462,0.564273,0.050250,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.296000,12.672399,10174,240,0,0.067584,1.005989,0.050312,0.050149,0.564124,0.050254,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.297000,12.672432,10175,240,0,0.060498,1.005930,0.050420,0.050036,0.563929,0.050289,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.298000,12.704539,10176,240,0,0.057098,1.005925,0.050169,0.050115,0.564363,0.050516,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.299000,12.704644,10177,240,0,0.049293,1.005936,0.049556,0.050329,0.564462,0.050509,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.300000,12.704680,10178,240,0,0.031388,1.006001,0.049877,0.050201,0.564418,0.050547,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.301000,12.736317,10179,240,0,0.024723,1.006036,0.049859,0.050450,0.564407,0.050582,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.302000,12.736436,10180,240,0,0.023249,1.006120,0.050508,0.050470,0.564562,0.050230,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.303000,12.736478,10181,240,0,0.014318,1.005985,0.050650,0.050568,0.564761,0.050062,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.304000,12.770870,10182,240,0,0.008573,1.005868,0.050052,0.050568,0.564324,0.049926,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.305000,12.770947,10183,240,0,0.005133,1.005819,0.050341,0.050614,0.564165,0.050136,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.306000,12.770984,10184,240,0,0.003073,1.005669,0.050265,0.050818,0.563358,0.050074,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.307000,12.799701,10185,240,0,0.001840,1.005499,0.050747,0.050373,0.563168,0.050280,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.308000,12.799793,10186,240,0,0.001102,1.005362,0.050520,0.050549,0.562916,0.050336,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.309000,12.799832,10187,240,0,0.000660,1.005261,0.050221,0.050211,0.563483,0.050451,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.310000,12.799861,10188,240,0,0.000395,1.005180,0.050209,0.050293,0.563719,0.050358,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.311000,12.831271,10189,240,0,0.000236,1.005223,0.050370,0.049975,0.563587,0.050263,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.312000,12.831348,10190,240,0,0.000142,1.005309,0.050165,0.050281,0.563807,0.050034,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.313000,12.831381,10191,240,0,0.000085,1.005368,0.050406,0.050481,0.563362,0.050336,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.314000,12.863399,10192,240,0,0.000051,1.005450,0.050037,0.050616,0.563779,0.050316,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.315000,12.863470,10193,240,0,0.000030,1.005552,0.050173,0.050659,0.563903,0.050420,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.316000,12.863506,10194,240,0,0.000018,1.005532,0.050231,0.050593,0.563572,0.050252,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.317000,12.894918,10195,240,0,0.000011,1.005422,0.050538,0.050348,0.563651,0.049817,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.318000,12.894981,10196,240,0,0.000007,1.005366,0.050647,0.050315,0.563638,0.050111,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.319000,12.895017,10197,240,0,0.000004,1.005321,0.050510,0.050323,0.563699,0.049895,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.320000,12.927484,10198,240,0,0.000002,1.005323,0.050097,0.050550,0.563965,0.049604,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.321000,12.927585,10199,240,0,0.000001,1.005351,0.050339,0.050643,0.563543,0.049785,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.322000,12.927622,10200,240,0,0.000001,1.005312,0.050708,0.050349,0.563246,0.050141,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.323000,12.959508,10201,240,0,0.000001,1.005237,0.050695,0.050512,0.563349,0.050021,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.324000,12.959615,10202,240,0,0.000000,1.005186,0.050066,0.050627,0.563388,0.050144,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.325000,12.959655,10203,240,0,0.000000,1.005153,0.050048,0.050493,0.563364,0.050358,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.326000,12.959688,10204,240,0,0.000000,1.005109,0.050474,0.050497,0.563727,0.050453,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.327000,12.990498,10205,240,0,0.000000,1.005119,0.050152,0.050258,0.563492,0.050418,17.512207,-1.977539,0.000000,0.000000,0.000000,0.000000
1.328000,12.990631,10206,240,0,0.000000,1.005113,0.050448,0.050134,0.563211,0.050671,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.329000,12.990666,10207,240,0,0.000000,1.005062,0.050183,0.050279,0.563573,0.050901,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.330000,13.022370,10208,240,0,0.000000,1.005064,0.049853,0.050073,0.563754,0.050719,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
1.331000,13.022452,10209,240,0,0.000000,1.005157,0.049985,0.050118,0.563529,0.050516,17.534180,-1.977539,0.000000,0.000000,0.000000,0.000000
